7.24004;-1.72375;1.00057;2.99943;6.56278e-07;1;87;1.00013;2.99988;3.14166e-08;1;30;1.00146;2.9989;3.85271e-06;1;163;163
;;2.17641e+64;2.17641e+64;8.52619e+129;1;1000;0.999931;3.00006;8.93163e-09;1;25;1.00055;2.99958;5.52511e-07;1;73;73
;;1.00141;2.99811;6.48273e-06;1002;35;1;3;4.28575e-16;179;5;1;3;1.0883e-18;74;2;2
0.767438;-4.12738;1.00061;2.99939;7.44367e-07;1;82;1.00015;2.99984;4.68703e-08;1;29;0.99994;2.99815;1.79627e-05;1;161;161
;;-1.05641e+65;-1.05641e+65;2.00881e+131;1;1000;1.00006;2.99994;6.88477e-09;1;29;0.999977;2.99928;2.70941e-06;1;72;72
;;1.00006;2.99995;6.04644e-09;275;9;1;3;1.82989e-18;167;5;1;3;1.98625e-19;73;2;2
7.97924;1.42237;1.00061;2.99939;7.52214e-07;1;84;1.00012;2.99988;2.78625e-08;1;30;1.00181;2.99959;1.12738e-05;1;161;161
;;7.75322e+64;7.75322e+64;1.08202e+131;1;1000;1.00005;2.99995;4.61046e-09;1;26;1.0007;2.99984;1.7005e-06;1;72;72
;;1.00009;2.99991;1.60115e-08;404;13;1;3;1.02369e-13;162;5;1;3;5.26554e-19;74;2;2
3.76908;7.8375;0.999417;3.00058;6.80278e-07;1;71;0.999889;3.00011;2.40672e-08;1;27;1.00093;3.00162;2.94381e-05;1;156;156
;;1.09181e+65;1.09181e+65;2.1457e+131;1;1000;0.999935;3.00006;7.97897e-09;1;28;1.00036;3.00063;4.43322e-06;1;70;70
;;0.999998;3;5.76015e-12;242;7;0.999998;3;6.92737e-12;133;4;1;3;3.15544e-30;137;3;3
8.46916;-3.67242;1.0006;2.9994;7.16362e-07;1;89;1.00015;2.99985;4.36246e-08;1;30;1.00135;2.99879;3.36768e-06;1;168;168
;;1.1436e+64;1.1436e+64;2.35408e+129;1;1000;1.00005;2.99994;6.47045e-09;1;18;1.00051;2.99954;4.83727e-07;1;75;75
;;1.00018;2.99975;1.17232e-07;1002;33;1;3;7.43158e-15;176;5;1;3;7.88861e-31;136;3;3
-9.9971;-4.92015;0.999368;3.00063;8.00023e-07;1;74;0.999885;3.00011;2.59101e-08;1;28;0.99846;2.99889;3.16643e-05;1;173;173
;;-2.7153e+65;-2.7153e+65;1.32711e+132;1;1000;0.999924;3.00008;1.20644e-08;1;27;0.999416;2.99958;4.55549e-06;1;77;77
;;0.999999;3;2.91222e-12;152;5;1;3.00001;4.64272e-10;122;4;1;3;1.57772e-30;137;3;3
-9.35604;-6.35994;0.999413;3.00059;6.89629e-07;1;64;0.999883;3.00011;2.68479e-08;1;25;0.998622;2.99875;3.0959e-05;1;174;174
;;-2.82994e+65;-2.82994e+65;1.44154e+132;1;1000;1.00004;2.99997;2.65526e-09;1;27;0.999516;2.99956;3.82181e-06;1;78;78
;;0.999999;3;2.76316e-12;244;7;1;3;4.43459e-16;163;5;1;3;2.12302e-17;72;2;2
6.17113;-8.62512;1.00058;2.99942;6.63027e-07;1;91;1.00016;2.99985;4.64067e-08;1;31;1.00076;2.99829;7.13601e-06;1;172;172
;;-9.26376e+64;-9.26376e+64;1.54471e+131;1;1000;1.00005;2.99995;5.36152e-09;1;48;1.00027;2.99938;9.26545e-07;1;77;77
;;1.00014;2.99987;3.74597e-08;642;21;1;3;7.6869e-16;170;5;1;3;4.60711e-18;71;2;2
-4.06898;4.37297;0.999367;3.00063;8.02217e-07;1;81;0.999866;3.00013;3.43128e-08;1;29;0.998213;3.00048;1.02165e-05;1;155;155
;;-5.30508e+64;-5.30508e+64;5.0659e+130;1;1000;0.999953;3.00005;4.8947e-09;1;25;0.999341;3.00018;1.38854e-06;1;70;70
;;0.999966;3.00004;2.45407e-09;489;15;1;3;2.19507e-15;168;5;1;3;1.95426e-20;77;2;2
-7.21462;-3.0402;0.999387;3.00061;7.51786e-07;1;71;0.999884;3.00012;2.75125e-08;1;27;0.998514;2.99891;3.00185e-05;1;168;168
;;-2.04607e+65;-2.04607e+65;7.53554e+131;1;1000;0.999953;3.00005;4.64466e-09;1;27;0.999437;2.99959;4.3118e-06;1;75;75
;;0.999998;3;2.51187e-11;195;6;1;3;3.69257e-17;166;5;1;3;1.57772e-30;137;3;3
