0.000000;0.000000;
0.000012;0.000988;
0.000092;0.003907;
0.000306;0.008688;
0.000718;0.015264;
0.001389;0.023569;
0.002374;0.033538;
0.003727;0.045108;
0.005499;0.058218;
0.007737;0.072807;
0.010483;0.088817;
0.013778;0.106192;
0.017656;0.124876;
0.022150;0.144816;
0.027290;0.165961;
0.033102;0.188258;
0.039607;0.211661;
0.046825;0.236121;
0.054770;0.261594;
0.063453;0.288035;
0.072883;0.315403;
0.083068;0.343656;
0.094009;0.372753;
0.105706;0.402657;
0.118157;0.433329;
0.131358;0.464733;
0.145301;0.496834;
0.159977;0.529597;
0.175373;0.562989;
0.191475;0.596977;
0.208266;0.631532;
0.225730;0.666620;
0.243853;0.702209;
0.262611;0.738270;
0.281979;0.774778;
0.301931;0.811703;
0.322443;0.849018;
0.343488;0.886697;
0.365040;0.924712;
0.387072;0.963036;
0.409557;1.001643;
0.432468;1.040505;
0.455776;1.079596;
0.479453;1.118890;
0.503471;1.158361;
0.527800;1.197982;
0.552421;1.237725;
0.577297;1.277566;
0.602396;1.317484;
0.627684;1.357453;
0.653128;1.397451;
0.678697;1.437455;
0.704360;1.477440;
0.730088;1.517382;
0.755853;1.557258;
0.781626;1.597042;
0.807383;1.636711;
0.833096;1.676239;
0.858743;1.715601;
0.884300;1.754773;
0.909744;1.793729;
0.935054;1.832443;
0.960211;1.870891;
0.985189;1.909051;
1.009963;1.946904;
1.034508;1.984425;
1.058802;2.021594;
1.082821;2.058387;
1.106544;2.094784;
1.129951;2.130763;
1.153023;2.166301;
1.175742;2.201380;
1.198091;2.235977;
1.220054;2.270073;
1.241615;2.303648;
1.262762;2.336683;
1.283481;2.369157;
1.303760;2.401051;
1.323590;2.432348;
1.342959;2.463029;
1.361860;2.493075;
1.380285;2.522469;
1.398217;2.551199;
1.415645;2.579251;
1.432559;2.606608;
1.448952;2.633256;
1.464816;2.659179;
1.480145;2.684365;
1.494931;2.708800;
1.509169;2.732472;
1.522855;2.755370;
1.535983;2.777482;
1.548549;2.798800;
1.560550;2.819314;
