0.741948;-5.14365;-5.00011;-5.00001;200.002;1.17576e-08;138
-1.88012;9.25074;-4.89988;-4.8997;196.012;0.0200826;134
9.1432;-1.03584;-4.80002;-4.80002;192.081;0.0799828;134
-9.10582;-5.18831;-4.70003;-4.69998;188.18;0.179996;140
-0.176765;5.26177;-4.60008;-4.60009;184.323;0.319863;136
5.93533;-9.65277;-4.50017;-4.49997;180.503;0.499857;136
-3.4266;-4.0028;-4.4;-4.4;176.72;0.720009;146
9.94272;7.31962;-4.30017;-4.3;172.983;0.979768;253
5.22276;-6.87138;-4.19992;-4.19998;169.278;1.28017;136
8.00236;1.9676;-4.10024;-4.1;165.624;1.61958;256
-6.92715;-4.0949;-4.00005;-3.99999;162.001;1.99993;142
5.57212;-1.54681;-3.90005;-3.89999;158.421;2.4199;136
-7.20868;5.02494;-3.79995;-3.80006;154.88;2.87998;136
-9.51536;-1.84867;-3.70003;-3.7;151.381;3.37992;138
-7.035;-5.02774;-3.59993;-3.60001;147.919;3.92016;140
2.14609;-8.62844;-3.49996;-3.50003;144.5;4.50004;136
5.54899;1.02266;-3.4002;-3.4;141.123;5.11937;256
-9.60789;-9.53079;-3.30005;-3.3;137.781;5.77986;138
7.44555;2.01593;-3.20001;-3.2;134.48;6.47995;136
-2.95505;4.99068;-3.1;-3.09986;131.218;7.22052;138
4.22592;4.83485;-2.99997;-2.99999;127.999;8.00018;138
-1.80738;0.120416;-2.90003;-2.90003;124.821;8.81977;142
-8.18324;-5.98493;-2.8;-2.80002;121.68;9.67992;138
-5.76461;-0.086611;-2.6999;-2.7;118.578;10.5805;140
0.26893;7.48309;-2.60009;-2.60016;115.524;11.5188;136
-7.05565;-5.47727;-2.50004;-2.49999;112.5;12.4999;140
-6.11692;6.80389;-2.40001;-2.39998;109.52;13.5201;136
3.26386;4.99542;-2.29992;-2.29995;106.578;14.5807;138
-6.6059;-0.250819;-2.20005;-2.20001;103.681;15.6797;140
6.64493;-6.05269;-2.10012;-2.10001;100.822;16.8193;136
5.79787;-8.36845;-1.99993;-2;97.9991;18.0004;136
7.13607;-4.01531;-1.89993;-1.89999;95.219;19.2205;136
-7.98637;3.96071;-1.80006;-1.79998;92.4805;20.4798;138
4.69821;6.74005;-1.69991;-1.69994;89.778;21.781;136
5.41568;2.05865;-1.59991;-1.60001;87.1189;23.1206;138
1.25202;-8.02806;-1.50001;-1.5;84.5002;24.4999;257
2.45268;1.82437;-1.40002;-1.40002;81.9204;25.9198;140
9.91482;7.35717;-1.30008;-1.30002;79.3813;27.3792;136
-5.343;4.99872;-1.19993;-1.20005;76.8798;28.8801;138
8.43497;-3.80418;-1.0999;-1.1;74.4188;30.4208;136
0.952489;6.42996;-1.00004;-1.00006;72.0012;31.9992;138
1.88344;-5.89274;-0.900065;-0.899969;69.6204;33.6197;140
-9.65213;-3.62084;-0.800033;-0.800019;67.2806;35.2796;136
-3.41073;-2.25639;-0.700038;-0.699979;64.9802;36.9799;142
9.74128;-9.46463;-0.600043;-0.599984;62.7203;38.7198;136
1.93044;8.23593;-0.499915;-0.499856;60.4975;40.5021;136
5.10171;-4.15557;-0.400017;-0.399994;58.3201;42.3199;138
-9.77262;-1.4471;-0.299866;-0.299999;56.1786;44.1813;136
5.9495;1.27156;-0.200027;-0.200004;54.0803;46.0797;138
-0.460668;3.17361;-0.099999;-0.100055;52.0205;48.0195;140
-8.21407;-7.45789;1.10602e-15;1.40717e-05;49.9999;50.0001;136
6.8051;1.75727;0.100151;0.100009;48.0184;52.0216;138
-9.30024;6.28321;0.200183;0.2;46.0782;54.0819;256
0.297498;9.5194;0.299999;0.299866;44.1813;56.1786;136
8.76519;7.90168;0.399861;0.4;42.3213;58.3185;256
-6.89823;-0.917671;0.500012;0.499989;40.5;60.5;138
-6.20532;-9.11653;0.600067;0.600043;38.719;62.7212;136
4.4238;8.88367;0.700033;0.700038;36.9794;64.9808;136
1.84715;7.27064;0.799973;0.799877;35.2813;67.2783;138
-2.2776;0.809327;0.899969;0.900014;33.6201;69.6198;140
-5.37841;-3.10284;1.00006;1.00001;31.9994;72.0008;138
3.49386;-2.95991;1.10006;1.09996;30.4199;74.4202;140
-3.21676;0.282427;1.19995;1.2;28.8804;76.8794;140
-5.16101;8.58179;1.29998;1.30004;27.3799;79.3803;138
0.631759;-1.15596;1.39998;1.39996;25.9204;81.9192;142
4.59796;4.54691;1.49995;1.50001;24.5002;84.4995;142
-0.932353;-5.35865;1.59997;1.60001;23.1202;87.1197;257
2.85459;-8.91628;1.70002;1.69994;21.7803;89.7794;136
-4.83746;8.58397;1.80013;1.79995;20.4795;92.4811;136
8.6583;9.68716;1.90016;1.90009;19.2185;95.2234;138
7.16766;5.39012;1.99996;1.99999;18.0003;97.9993;138
5.72373;4.5315;2.10006;2.10001;16.8196;100.821;140
