5; 1; 10; 
4,97984; 1,02015; 11,1084; 
4,95973; 1,04025; 12,1701; 
4,93965; 1,0603; 13,1879; 
4,91962; 1,08029; 14,1644; 
4,89962; 1,10024; 15,1021; 
4,87967; 1,12014; 16,0031; 
4,85976; 1,13999; 16,8695; 
4,83988; 1,15978; 17,7032; 
4,82005; 1,17953; 18,506; 
4,80026; 1,19923; 19,2796; 
4,78051; 1,21888; 20,0254; 
4,7608; 1,23847; 20,7449; 
4,74114; 1,25802; 21,4393; 
4,72151; 1,27752; 22,1101; 
4,70192; 1,29697; 22,7582; 
4,68238; 1,31637; 23,3849; 
4,66287; 1,33572; 23,991; 
4,64341; 1,35503; 24,5776; 
4,62398; 1,37428; 25,1456; 
4,6046; 1,39348; 25,6958; 
4,58526; 1,41264; 26,2289; 
4,56595; 1,43174; 26,7459; 
4,54669; 1,4508; 27,2472; 
4,52747; 1,46981; 27,7337; 
4,50829; 1,48877; 28,2058; 
4,48915; 1,50768; 28,6644; 
4,47005; 1,52655; 29,1097; 
4,451; 1,54536; 29,5425; 
4,43198; 1,56413; 29,9632; 
4,413; 1,58285; 30,3723; 
4,39407; 1,60152; 30,7703; 
4,37517; 1,62014; 31,1574; 
4,35632; 1,63872; 31,5343; 
4,33751; 1,65725; 31,9012; 
4,31873; 1,67572; 32,2585; 
4,3; 1,69415; 32,6066; 
4,28131; 1,71254; 32,9458; 
4,26266; 1,73087; 33,2764; 
4,24405; 1,74916; 33,5987; 
4,22548; 1,7674; 33,913; 
4,20695; 1,78559; 34,2196; 
4,18846; 1,80374; 34,5188; 
4,17002; 1,82184; 34,8107; 
4,15161; 1,83989; 35,0957; 
4,13325; 1,85789; 35,3739; 
4,11492; 1,87584; 35,6456; 
4,09664; 1,89375; 35,9109; 
4,07839; 1,91161; 36,1702; 
4,06019; 1,92943; 36,4235; 
4,04203; 1,94719; 36,6711; 
4,02391; 1,96491; 36,9132; 
4,00583; 1,98259; 37,1498; 
3,98779; 2,00021; 37,3812; 
3,96979; 2,01779; 37,6076; 
3,95183; 2,03532; 37,829; 
